Sample File Name	Size	Height	Area	
MAR_29_E04_2015-10-07.fsa		146	1328	
MAR_29_E04_2015-10-07.fsa		89	895	
MAR_29_E04_2015-10-07.fsa		170	1423	
MAR_29_E04_2015-10-07.fsa		99	630	
MAR_29_E04_2015-10-07.fsa		82	709	
MAR_29_E04_2015-10-07.fsa		601	5226	
MAR_29_E04_2015-10-07.fsa		622	5379	
MAR_29_E04_2015-10-07.fsa		210	1795	
MAR_29_E04_2015-10-07.fsa		890	7704	
MAR_29_E04_2015-10-07.fsa		120	850	
MAR_29_E04_2015-10-07.fsa		116	475	
MAR_29_E04_2015-10-07.fsa		3398	24388	
MAR_29_E04_2015-10-07.fsa		1359	13206	
MAR_29_E04_2015-10-07.fsa		948	6773	
MAR_29_E04_2015-10-07.fsa	0.17	62	195	
MAR_29_E04_2015-10-07.fsa	1.44	3441	24344	
MAR_29_E04_2015-10-07.fsa	3.14	1969	19480	
MAR_29_E04_2015-10-07.fsa	3.81	1829	17963	
MAR_29_E04_2015-10-07.fsa	7.29	1344	11263	
MAR_29_E04_2015-10-07.fsa	8.81	1362	20437	
MAR_29_E04_2015-10-07.fsa	9.58	1360	13514	
MAR_29_E04_2015-10-07.fsa	10.68	159	714	
MAR_29_E04_2015-10-07.fsa	11.53	99	161	
MAR_29_E04_2015-10-07.fsa	12.63	2067	13887	
MAR_29_E04_2015-10-07.fsa	13.47	2372	30862	
MAR_29_E04_2015-10-07.fsa	14.92	2405	43886	
MAR_29_E04_2015-10-07.fsa	16.95	629	4758	
MAR_29_E04_2015-10-07.fsa	18.22	2309	20823	
MAR_29_E04_2015-10-07.fsa	23.39	1162	8229	
MAR_29_E04_2015-10-07.fsa	24.66	468	4229	
MAR_29_E04_2015-10-07.fsa	26.19	239	1252	
MAR_29_E04_2015-10-07.fsa	29.58	1211	8226	
MAR_29_E04_2015-10-07.fsa	30.59	230	1553	
MAR_29_E04_2015-10-07.fsa	31.44	382	3379	
MAR_29_E04_2015-10-07.fsa	32.54	265	2462	
MAR_29_E04_2015-10-07.fsa	34.92	153	513	
MAR_29_E04_2015-10-07.fsa	39.92	80	460	
MAR_29_E04_2015-10-07.fsa	41.36	783	4611	
MAR_29_E04_2015-10-07.fsa	42.37	271	1171	
MAR_29_E04_2015-10-07.fsa	43.56	84	326	
MAR_29_E04_2015-10-07.fsa	44.66	215	1041	
MAR_29_E04_2015-10-07.fsa	45.76	77	279	
MAR_29_E04_2015-10-07.fsa	47.29	1034	5918	
MAR_29_E04_2015-10-07.fsa	48.14	179	703	
MAR_29_E04_2015-10-07.fsa	49.15	7196	74596	
MAR_29_E04_2015-10-07.fsa	50.08	4485	35563	
MAR_29_E04_2015-10-07.fsa	53.35	51	312	
MAR_29_E04_2015-10-07.fsa	55.37	244	1611	
MAR_29_E04_2015-10-07.fsa	56.96	125	762	
MAR_29_E04_2015-10-07.fsa	57.72	198	1546	
MAR_29_E04_2015-10-07.fsa	58.48	64	261	
MAR_29_E04_2015-10-07.fsa	59.41	166	929	
MAR_29_E04_2015-10-07.fsa	61.19	51	226	
MAR_29_E04_2015-10-07.fsa	61.95	38	115	
MAR_29_E04_2015-10-07.fsa	63.3	87	386	
MAR_29_E04_2015-10-07.fsa	64.24	88	374	
MAR_29_E04_2015-10-07.fsa	65.43	172	1058	
MAR_29_E04_2015-10-07.fsa	66.36	91	366	
MAR_29_E04_2015-10-07.fsa	67.73	90	822	
MAR_29_E04_2015-10-07.fsa	68.66	80	394	
MAR_29_E04_2015-10-07.fsa	69.86	286	2149	
MAR_29_E04_2015-10-07.fsa	70.97	129	870	
MAR_29_E04_2015-10-07.fsa	72.0	53	242	
MAR_29_E04_2015-10-07.fsa	72.85	73	362	
MAR_29_E04_2015-10-07.fsa	74.14	172	985	
MAR_29_E04_2015-10-07.fsa	75.43	404	2673	
MAR_29_E04_2015-10-07.fsa	77.76	164	968	
MAR_29_E04_2015-10-07.fsa	79.06	57	275	
MAR_29_E04_2015-10-07.fsa	79.84	123	509	
MAR_29_E04_2015-10-07.fsa	81.05	115	604	
MAR_29_E04_2015-10-07.fsa	82.18	134	710	
MAR_29_E04_2015-10-07.fsa	84.35	130	1292	
MAR_29_E04_2015-10-07.fsa	85.4	90	749	
MAR_29_E04_2015-10-07.fsa	86.35	44	252	
MAR_29_E04_2015-10-07.fsa	87.66	56	250	
MAR_29_E04_2015-10-07.fsa	88.7	55	344	
MAR_29_E04_2015-10-07.fsa	89.58	117	686	
MAR_29_E04_2015-10-07.fsa	90.71	53	215	
MAR_29_E04_2015-10-07.fsa	91.76	63	348	
MAR_29_E04_2015-10-07.fsa	92.9	149	797	
MAR_29_E04_2015-10-07.fsa	95.17	433	4223	
MAR_29_E04_2015-10-07.fsa	97.72	63	430	
MAR_29_E04_2015-10-07.fsa	98.42	64	438	
MAR_29_E04_2015-10-07.fsa	99.38	30	220	
MAR_29_E04_2015-10-07.fsa	100.62	160	926	
