PCR	SID
1	18_S1
2	18_S1
3	18_S1
4	18_S2
5	18_S2
6	18_S2
7	18_C1
8	18_C1
9	18_C1
10	18_C2
11	18_C2
12	18_C2
13	neg
14	neg
15	pos
16	pos
17	28_S1
18	28_S1
19	28_S1
20	28_S2
21	28_S2
22	28_S2
23	28_C1
24	28_C1
25	28_C1
26	28_C2
27	28_C2
28	28_C2
29	pos
30	pos
31	neg
32	neg
33	0_S1
34	0_S1
35	0_S1
36	0_S2
37	0_S2
38	0_S2
39	0_C1
40	0_C1
41	0_C1
42	0_C2
43	0_C2
44	0_C2
45	pos
46	pos
47	neg
48	neg
49	t0_1
50	t0_1
51	t0_1
52	t0_2
53	t0_2
54	t0_2
55	5_C1
56	5_C1
57	5_C1
58	5_C2
59	5_C2
60	5_C2
61	5_S1
62	5_S1
63	5_S1
64	5_S2
65	5_S2
66	5_S2
67	neg
68	neg
69	pos
70	pos
71	neg
